"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"C19orf77",0,1.11454940114108,0.647,0.001,0,"Progenitor cells","C19orf77"
"SPINK2",3.72386902013504e-290,1.61983661080917,0.647,0.002,5.61671164306968e-286,"Progenitor cells","SPINK2"
"CD34",2.75246332088241e-283,0.560249327932466,0.588,0.001,4.15154042688694e-279,"Progenitor cells","CD34"
"PRSS57",4.69454482204699e-281,1.56975409985286,0.706,0.003,7.08078195509347e-277,"Progenitor cells","PRSS57"
"C1QTNF4",2.7825705442032e-225,1.03841084300809,0.5,0.001,4.19695115182168e-221,"Progenitor cells","C1QTNF4"
"AC002454.1",1.95521638225483e-219,0.512898151622461,0.441,0,2.94905286935496e-215,"Progenitor cells","AC002454.1"
"IGLL1",3.01434234877309e-206,1.10176815285098,0.441,0.001,4.54653256465445e-202,"Progenitor cells","IGLL1"
"C9orf43",4.81815628667878e-203,0.282941966730334,0.382,0,7.2672251271976e-199,"Progenitor cells","C9orf43"
"CYTL1",4.3020019786438e-190,0.903690292272679,0.471,0.002,6.48870958438844e-186,"Progenitor cells","CYTL1"
"AP001171.1",1.654088593737e-187,0.392565527198501,0.353,0,2.49486182593352e-183,"Progenitor cells","AP001171.1"
"BAALC",1.03750463296475e-183,0.534954868598177,0.441,0.002,1.56486823790074e-179,"Progenitor cells","BAALC"
"NPR3",5.53386187113952e-172,0.340558920950741,0.324,0,8.34672386023973e-168,"Progenitor cells","NPR3"
"ERG",3.92082617800914e-160,0.304441437501831,0.353,0.001,5.91378212429118e-156,"Progenitor cells","ERG"
"KIAA0125",7.55351061520951e-144,1.31141945111127,0.618,0.011,1.13929600609205e-139,"Progenitor cells","KIAA0125"
"ZNF521",4.56632647254003e-142,0.327154637418957,0.294,0,6.88739021853212e-138,"Progenitor cells","ZNF521"
"PTRF",5.74938989804795e-141,0.353009727951554,0.265,0,8.67180478322573e-137,"Progenitor cells","PTRF"
"HTR1F",7.85949159889557e-135,0.37714867026803,0.324,0.001,1.18544711786142e-130,"Progenitor cells","HTR1F"
"MSRB3",1.01872926247048e-131,0.50696517073872,0.588,0.011,1.53654934658422e-127,"Progenitor cells","MSRB3"
"MEST",1.40513259101497e-130,0.448529934396903,0.529,0.008,2.11936148702788e-126,"Progenitor cells","MEST"
"EGFL7",1.57036460059139e-130,1.03108309359706,0.676,0.016,2.36858092707199e-126,"Progenitor cells","EGFL7"
"MYB",2.8452295133667e-130,0.811630103362507,0.618,0.013,4.29145967501099e-126,"Progenitor cells","MYB"
"LINC01122",1.21782965261608e-125,0.324300635156455,0.324,0.002,1.83685246504083e-121,"Progenitor cells","LINC01122"
"ITM2C",6.50485993773657e-123,1.5309784961112,0.882,0.035,9.81128024408806e-119,"Progenitor cells","ITM2C"
"C1orf186",4.83013326229412e-120,0.531416384655501,0.294,0.001,7.28528999951822e-116,"Progenitor cells","C1orf186"
"HOXA9",9.78125259123745e-120,0.529300943590841,0.5,0.008,1.47530632833634e-115,"Progenitor cells","HOXA9"
"BCL11A",1.37313086165609e-118,1.12691082111229,0.735,0.023,2.07109327863589e-114,"Progenitor cells","BCL11A"
"HOXA10-AS",2.98701985872045e-111,0.323972124707809,0.294,0.002,4.50532205290806e-107,"Progenitor cells","HOXA10-AS"
"RP11-1275H24.1",9.14902579504019e-109,0.51532061601883,0.471,0.008,1.37994756066591e-104,"Progenitor cells","RP11-1275H24.1"
"LTC4S",1.45543008170495e-98,0.326744884010278,0.324,0.003,2.19522519223558e-94,"Progenitor cells","LTC4S"
"GATA2",6.49642639239346e-96,0.465044388490572,0.382,0.006,9.79855992764706e-92,"Progenitor cells","GATA2"
"MAP7",3.67184224652296e-90,0.292696286461996,0.265,0.002,5.53823966043058e-86,"Progenitor cells","MAP7"
"SOX4",2.96002055292995e-83,2.29195681100241,0.912,0.065,4.46459899998424e-79,"Progenitor cells","SOX4"
"NDN",2.42178022989829e-81,0.278247111192334,0.294,0.004,3.65277112075559e-77,"Progenitor cells","NDN"
"LAPTM4B",6.27197462980037e-79,0.370956157510715,0.441,0.012,9.46001933412789e-75,"Progenitor cells","LAPTM4B"
"CMBL",1.67272106336485e-78,0.265470570647682,0.265,0.003,2.5229651798732e-74,"Progenitor cells","CMBL"
"TCF4",9.29793551049968e-78,1.29632019299749,0.735,0.04,1.40240761304867e-73,"Progenitor cells","TCF4"
"MYCT1",3.63050397382109e-77,0.304140369711132,0.324,0.005,5.47588914371435e-73,"Progenitor cells","MYCT1"
"PTPLA",6.88496989857745e-74,0.414661529650822,0.382,0.009,1.03846000980244e-69,"Progenitor cells","PTPLA"
"HOXA10",7.62507084675567e-74,0.33550478835936,0.412,0.011,1.15008943581616e-69,"Progenitor cells","HOXA10"
"RP11-620J15.3",4.52405061018743e-72,1.50879425197032,0.824,0.061,6.8236255353457e-68,"Progenitor cells","RP11-620J15.3"
"SCN9A",5.57089034794145e-70,0.282625373681259,0.265,0.004,8.40257391180008e-66,"Progenitor cells","SCN9A"
"CDK6",8.70564390850854e-68,1.2373395189693,0.794,0.059,1.31307227072034e-63,"Progenitor cells","CDK6"
"NREP",1.73080326016799e-65,0.4913530634034,0.529,0.023,2.61057055731137e-61,"Progenitor cells","NREP"
"AKR1C3",2.02058907042821e-65,0.679354830737615,0.618,0.032,3.04765449492687e-61,"Progenitor cells","AKR1C3"
"ZNF667-AS1",1.39690996068315e-63,0.264401543694376,0.294,0.006,2.1069592936984e-59,"Progenitor cells","ZNF667-AS1"
"PLD4",1.1864479729766e-61,1.09967478168708,0.294,0.006,1.7895194776406e-57,"Progenitor cells","PLD4"
"ADAM28",5.76748348994383e-59,0.314931124430131,0.294,0.007,8.69909534788228e-55,"Progenitor cells","ADAM28"
"SERPINE2",1.92254784683515e-57,0.35769987122786,0.412,0.015,2.89977891738146e-53,"Progenitor cells","SERPINE2"
"FAM212A",6.70028522295703e-57,0.380726131626899,0.353,0.011,1.01060402017861e-52,"Progenitor cells","FAM212A"
"SOCS2",4.64794565083372e-54,0.475492195543866,0.471,0.022,7.01049642515251e-50,"Progenitor cells","SOCS2"
"MDK",4.29007730408928e-53,0.422366263942732,0.353,0.012,6.47072359775786e-49,"Progenitor cells","MDK"
"TSC22D1",5.13477791756533e-51,0.831204263261001,0.824,0.076,7.74478553306378e-47,"Progenitor cells","TSC22D1"
"ANKRD28",6.46139838925845e-50,0.730529998095807,0.529,0.032,9.74572719051852e-46,"Progenitor cells","ANKRD28"
"MAP1A",8.60328188620036e-50,0.419731308858664,0.441,0.021,1.2976330068956e-45,"Progenitor cells","MAP1A"
"RAMP1",1.40305461200568e-48,0.395892643105102,0.412,0.019,2.11622727128817e-44,"Progenitor cells","RAMP1"
"ISYNA1",1.76959944790715e-48,0.44037845811639,0.441,0.022,2.66908684727835e-44,"Progenitor cells","ISYNA1"
"RHOBTB3",2.67678531967229e-46,0.499751289086089,0.529,0.034,4.03739529766172e-42,"Progenitor cells","RHOBTB3"
"CXXC5",4.09622510070531e-46,0.6965810753472,0.647,0.053,6.17833631939381e-42,"Progenitor cells","CXXC5"
"TSPAN3",4.62722055321723e-46,0.505072035307093,0.5,0.031,6.97923676041755e-42,"Progenitor cells","TSPAN3"
"ZNF618",2.09930721925165e-44,0.313893154630461,0.324,0.012,3.16638507879727e-40,"Progenitor cells","ZNF618"
"SSBP2",3.88807373234773e-42,0.411876480110145,0.529,0.037,5.86438161050008e-38,"Progenitor cells","SSBP2"
"CBFA2T3",7.78117779245473e-42,0.394295435468934,0.441,0.026,1.17363504643595e-37,"Progenitor cells","CBFA2T3"
"TFDP2",3.51785866376608e-41,0.615341721192884,0.794,0.089,5.30598622255839e-37,"Progenitor cells","TFDP2"
"SOX12",3.89737784436326e-41,0.268849456125306,0.265,0.009,5.87841500265311e-37,"Progenitor cells","SOX12"
"FSCN1",5.80564079822517e-41,0.280824785603013,0.265,0.009,8.75664801596303e-37,"Progenitor cells","FSCN1"
"TSPAN13",1.31875612879598e-39,0.526975348517825,0.294,0.012,1.98907986906297e-35,"Progenitor cells","TSPAN13"
"ATP8B4",4.4606341236082e-39,0.333191417931175,0.382,0.021,6.72797444863825e-35,"Progenitor cells","ATP8B4"
"TCEAL4",5.02740031749457e-39,0.524734166114311,0.529,0.042,7.58282789887707e-35,"Progenitor cells","TCEAL4"
"IGF2BP2",4.3372865341796e-37,0.415527501714156,0.382,0.022,6.54192927950309e-33,"Progenitor cells","IGF2BP2"
"FAM213A",4.5403342032021e-35,0.343740266568204,0.412,0.028,6.84818607868973e-31,"Progenitor cells","FAM213A"
"MSI2",1.33504309958932e-34,0.797256606609311,0.765,0.104,2.01364550711058e-30,"Progenitor cells","MSI2"
"MZB1",2.41945464958963e-34,0.98017037623331,0.5,0.044,3.64926344797604e-30,"Progenitor cells","MZB1"
"PHF7",5.74822222513281e-34,0.253742906779956,0.353,0.021,8.67004358216781e-30,"Progenitor cells","PHF7"
"TUBB6",7.39293820237283e-34,0.326536670622308,0.324,0.017,1.11507686906389e-29,"Progenitor cells","TUBB6"
"MIR181A1HG",2.66538431621011e-33,0.446975629047438,0.471,0.038,4.02019916413971e-29,"Progenitor cells","MIR181A1HG"
"IL18",3.15020412417292e-33,0.521934949549023,0.471,0.039,4.75145288049002e-29,"Progenitor cells","IL18"
"FHL1",3.61666989835641e-33,0.378784002023854,0.559,0.053,5.45502320769097e-29,"Progenitor cells","FHL1"
"EFHC1",4.97667794885187e-33,0.267730638572415,0.265,0.012,7.50632335025327e-29,"Progenitor cells","EFHC1"
"NME4",7.13965705331242e-32,0.453657008040848,0.647,0.074,1.07687447335111e-27,"Progenitor cells","NME4"
"FADS1",9.75337843450367e-32,0.417630739930172,0.529,0.052,1.47110206927619e-27,"Progenitor cells","FADS1"
"RUNX2",4.78506244103625e-31,0.332095863365832,0.353,0.023,7.21730967981498e-27,"Progenitor cells","RUNX2"
"BCL7A",5.13955117653222e-31,0.35534622699048,0.324,0.02,7.75198503956355e-27,"Progenitor cells","BCL7A"
"C11orf74",2.87718605581986e-29,0.280296316533472,0.382,0.029,4.3396597279931e-25,"Progenitor cells","C11orf74"
"H1F0",8.72646507339686e-28,0.491678064447578,0.382,0.031,1.31621272702045e-23,"Progenitor cells","H1F0"
"SNHG7",9.12926053156169e-28,1.4235567165528,0.941,0.262,1.37696636597545e-23,"Progenitor cells","SNHG7"
"RAB34",3.24794522811196e-27,0.478232060108096,0.618,0.081,4.89887578756127e-23,"Progenitor cells","RAB34"
"C9orf139",5.19574282656656e-27,0.323865334900487,0.441,0.042,7.83673890531034e-23,"Progenitor cells","C9orf139"
"IL1B",4.68764082341802e-26,0.342146441296398,0.441,0.043,7.0703686539614e-22,"Progenitor cells","IL1B"
"SPIN1",3.45021448332572e-25,0.256674471991842,0.382,0.033,5.20395850520019e-21,"Progenitor cells","SPIN1"
"PPP1R14B",5.19877708900124e-25,0.611173361879371,0.529,0.067,7.84131548334057e-21,"Progenitor cells","PPP1R14B"
"SPINT2",1.61645120083472e-24,0.561788773834755,0.853,0.171,2.438093346219e-20,"Progenitor cells","SPINT2"
"DDAH2",4.4188771058184e-24,0.733271457418435,0.735,0.136,6.6649923387059e-20,"Progenitor cells","DDAH2"
"LYL1",6.33842905475923e-24,0.789906444142684,0.794,0.167,9.56025254329334e-20,"Progenitor cells","LYL1"
"MAGEF1",1.17379802783641e-23,0.469325044080846,0.382,0.037,1.77043956538566e-19,"Progenitor cells","MAGEF1"
"FAM117A",1.86319222451538e-23,0.514213665251635,0.559,0.076,2.81025283223654e-19,"Progenitor cells","FAM117A"
"NRIP1",2.74275219099096e-23,0.393746706195408,0.412,0.042,4.13689312967167e-19,"Progenitor cells","NRIP1"
"RAB13",3.50425384577314e-23,0.502717962407527,0.5,0.066,5.28546607557963e-19,"Progenitor cells","RAB13"
"P2RX1",1.04376448366774e-22,0.250566106520492,0.382,0.037,1.57430997071605e-18,"Progenitor cells","P2RX1"
"ZNRF1",2.4232317943858e-22,0.394261489537668,0.324,0.028,3.65496051547211e-18,"Progenitor cells","ZNRF1"
"C1orf228",9.3356885621102e-22,0.684060819893679,0.706,0.134,1.40810190582308e-17,"Progenitor cells","C1orf228"
"WBP5",1.33198194631889e-21,0.262359101101215,0.294,0.023,2.00902836963279e-17,"Progenitor cells","WBP5"
"LL22NC03-2H8.5",1.71550299030967e-21,0.304598954514307,0.294,0.024,2.58749316028407e-17,"Progenitor cells","LL22NC03-2H8.5"
"APEX1",3.56831391922493e-21,1.01361065848822,0.882,0.3,5.38208788436697e-17,"Progenitor cells","APEX1"
"STMN1",4.93673485119471e-21,0.795617365087688,0.882,0.211,7.44607717605698e-17,"Progenitor cells","STMN1"
"RNF220",1.0634822890073e-20,0.446913199502298,0.618,0.104,1.60405033650971e-16,"Progenitor cells","RNF220"
"GAPT",1.98429823642335e-20,0.397327457988585,0.471,0.061,2.99291702999734e-16,"Progenitor cells","GAPT"
"RP11-1000B6.3",1.99476249091485e-20,0.334334859906219,0.412,0.048,3.00870026504687e-16,"Progenitor cells","RP11-1000B6.3"
"EPB41L4A-AS1",2.78680433124785e-20,0.567996600264401,0.794,0.169,4.20333697282113e-16,"Progenitor cells","EPB41L4A-AS1"
"RPS3A",5.093481377777e-20,0.983517833119115,1,0.847,7.68249796210105e-16,"Progenitor cells","RPS3A"
"IMPDH2",5.42657344705742e-20,0.774199833429906,0.735,0.162,8.1849007301967e-16,"Progenitor cells","IMPDH2"
"IGFBP7",3.15600753167258e-19,0.875806356208304,0.618,0.122,4.76020616002176e-15,"Progenitor cells","IGFBP7"
"SPG20",4.80434856474374e-19,0.255946682463012,0.471,0.064,7.24639894020299e-15,"Progenitor cells","SPG20"
"RPS23",6.17974442734767e-19,0.954594494309712,1,0.839,9.32090851976849e-15,"Progenitor cells","RPS23"
"TP53I3",1.1425996018849e-18,0.269094028341323,0.353,0.039,1.723382979523e-14,"Progenitor cells","TP53I3"
"GNA15",1.17048294221099e-18,0.461577729729593,0.471,0.071,1.76543942173684e-14,"Progenitor cells","GNA15"
"HMGA1",1.66984372465043e-18,0.952169159359218,0.853,0.281,2.51862528989024e-14,"Progenitor cells","HMGA1"
"NPM3",1.87405288632325e-18,0.446376706925056,0.559,0.099,2.82663396844136e-14,"Progenitor cells","NPM3"
"PLAGL1",2.48594162416263e-18,0.325554759370104,0.382,0.046,3.7495457517245e-14,"Progenitor cells","PLAGL1"
"ZNF395",6.90085393489882e-18,0.26244773554083,0.265,0.023,1.04085579900079e-13,"Progenitor cells","ZNF395"
"HIP1",1.21608975801508e-17,0.396797395377288,0.324,0.035,1.83422818201414e-13,"Progenitor cells","HIP1"
"NUCB2",2.15815768094892e-17,0.845244812185455,0.853,0.267,3.25514923017526e-13,"Progenitor cells","NUCB2"
"ZNF22",2.83516229509061e-17,0.638425529136514,0.824,0.229,4.27627528968516e-13,"Progenitor cells","ZNF22"
"RPS4X",3.65388962330604e-17,0.961194685841002,1,0.861,5.5111617188325e-13,"Progenitor cells","RPS4X"
"BTK",4.78855642984339e-17,0.315030874704752,0.559,0.096,7.22257966313278e-13,"Progenitor cells","BTK"
"ALDH1A1",4.80517763334964e-17,0.378086496420168,0.471,0.071,7.24764942438126e-13,"Progenitor cells","ALDH1A1"
"SYPL1",4.81389439017528e-17,0.538930430495379,0.735,0.173,7.26079690870138e-13,"Progenitor cells","SYPL1"
"EEF1B2",6.32660468113618e-17,0.960128314661786,1,0.741,9.5424178405577e-13,"Progenitor cells","EEF1B2"
"ABI2",7.04657557325102e-17,0.325360769588268,0.471,0.073,1.06283499371345e-12,"Progenitor cells","ABI2"
"RP11-304L19.5",9.22114796716288e-17,0.506381044928667,0.5,0.089,1.39082574788718e-12,"Progenitor cells","RP11-304L19.5"
"BEX2",9.30444555623975e-17,0.308068089418583,0.382,0.049,1.40338952324764e-12,"Progenitor cells","BEX2"
"RPL9",9.4899874127907e-17,0.758642523610198,1,0.846,1.43137480147122e-12,"Progenitor cells","RPL9"
"MAST4",2.23140699902414e-16,0.343576291990835,0.324,0.037,3.36563117662811e-12,"Progenitor cells","MAST4"
"SPATC1L",2.31483933456246e-16,0.344034463867825,0.353,0.044,3.49147216832056e-12,"Progenitor cells","SPATC1L"
"HPS4",5.12250974967861e-16,0.347396584568798,0.5,0.085,7.72628145544025e-12,"Progenitor cells","HPS4"
"NUDCD1",5.15324495288989e-16,0.26127901929022,0.294,0.032,7.77263936244382e-12,"Progenitor cells","NUDCD1"
"RPL3",6.07048928927388e-16,0.865931777789654,1,0.824,9.1561189950118e-12,"Progenitor cells","RPL3"
"ICA1",6.51766864923797e-16,0.284577615614683,0.353,0.045,9.83059962364562e-12,"Progenitor cells","ICA1"
"RPL26",9.7073315015266e-16,0.721545434614781,1,0.864,1.46415681037526e-11,"Progenitor cells","RPL26"
"RPL37A",9.81348139672193e-16,0.844736058052165,1,0.822,1.48016739906757e-11,"Progenitor cells","RPL37A"
"RPS24",9.9636582258592e-16,0.851143718042695,1,0.842,1.50281857020634e-11,"Progenitor cells","RPS24"
"RPS8",1.02504461937054e-15,0.811155729234807,1,0.821,1.54607479939659e-11,"Progenitor cells","RPS8"
"RPL5",1.03482210148028e-15,0.825519904002844,1,0.785,1.56082217566271e-11,"Progenitor cells","RPL5"
"RPL10A",1.05935167760012e-15,0.847029891073793,1,0.795,1.59782013532427e-11,"Progenitor cells","RPL10A"
"SNHG8",1.19927485135328e-15,0.983959085847755,0.882,0.357,1.80886625829615e-11,"Progenitor cells","SNHG8"
"MAT2A",1.38316715813945e-15,0.430969200398576,0.706,0.163,2.08623102462173e-11,"Progenitor cells","MAT2A"
"NPM1",1.91899722749214e-15,1.00180714717664,1,0.702,2.8944235182264e-11,"Progenitor cells","NPM1"
"GNB2L1",1.97452348659627e-15,0.852723585184597,1,0.809,2.97817377483316e-11,"Progenitor cells","GNB2L1"
"TM7SF3",2.00600555126188e-15,0.404187966597774,0.647,0.145,3.0256581729683e-11,"Progenitor cells","TM7SF3"
"RPL35A",2.11461413918362e-15,0.668080897139849,1,0.86,3.18947250613065e-11,"Progenitor cells","RPL35A"
"SPATS2",2.13003498463662e-15,0.295759912566805,0.324,0.04,3.21273176732742e-11,"Progenitor cells","SPATS2"
"CDCA7",2.23573457022086e-15,0.451869775836543,0.559,0.112,3.37215845226412e-11,"Progenitor cells","CDCA7"
"RPS11",2.75622909134683e-15,0.680291841344604,1,0.865,4.15722033847843e-11,"Progenitor cells","RPS11"
"RPS12",3.07103411892422e-15,0.821822995509067,1,0.85,4.6320407615734e-11,"Progenitor cells","RPS12"
"RPLP0",5.8639346888348e-15,0.914144082008229,1,0.764,8.84457269116953e-11,"Progenitor cells","RPLP0"
"RPS28",6.2249413616298e-15,0.624209613606024,1,0.861,9.38907905574623e-11,"Progenitor cells","RPS28"
"HSP90AB1",8.29598823549353e-15,1.04940838995113,0.971,0.53,1.25128390555949e-10,"Progenitor cells","HSP90AB1"
"RPS3",9.26897095003251e-15,0.792258831788904,1,0.877,1.3980388883934e-10,"Progenitor cells","RPS3"
"EBPL",1.00767881632519e-14,0.756629880872555,0.824,0.281,1.51988195866328e-10,"Progenitor cells","EBPL"
"RPL36A",1.06423333944303e-14,0.806648772916391,1,0.782,1.60518314588192e-10,"Progenitor cells","RPL36A"
"RPL7A",1.22947875912851e-14,0.875561761914225,1,0.787,1.85442281239353e-10,"Progenitor cells","RPL7A"
"MYL6B",1.59880829221848e-14,0.405798149755798,0.618,0.139,2.41148254715314e-10,"Progenitor cells","MYL6B"
"CAT",1.68369804362764e-14,0.698355070500026,0.765,0.239,2.53952175920356e-10,"Progenitor cells","CAT"
"RPL37",1.92905195168433e-14,0.685636810676691,1,0.845,2.90958905872548e-10,"Progenitor cells","RPL37"
"ETV6",2.16771243697946e-14,0.447419451914898,0.588,0.132,3.26956066869611e-10,"Progenitor cells","ETV6"
"RPL29",2.31326654552051e-14,0.788737831501606,1,0.807,3.48909993060858e-10,"Progenitor cells","RPL29"
"RPS2",2.84338509540391e-14,0.867016823792767,1,0.887,4.28867773939771e-10,"Progenitor cells","RPS2"
"RPS20",2.97611839344924e-14,0.631611087714664,1,0.843,4.4888793728395e-10,"Progenitor cells","RPS20"
"B3GNTL1",3.21461177077789e-14,0.280894353308059,0.324,0.044,4.84859893386428e-10,"Progenitor cells","B3GNTL1"
"RPS6",3.39771593518841e-14,0.792686116208461,1,0.87,5.12477494504468e-10,"Progenitor cells","RPS6"
"ZFAS1",3.75295083324798e-14,1.22834341341656,0.971,0.672,5.66057574178793e-10,"Progenitor cells","ZFAS1"
"RPS5",4.06540171571632e-14,0.829123867653128,1,0.8,6.13184540781492e-10,"Progenitor cells","RPS5"
"RPS10",4.54693929055963e-14,0.674116334583426,1,0.801,6.85814853195109e-10,"Progenitor cells","RPS10"
"RPL7",4.59166236175992e-14,0.739084705285469,1,0.862,6.92560434024249e-10,"Progenitor cells","RPL7"
"RPL39",4.68088785319704e-14,0.661003031865594,1,0.899,7.06018314897709e-10,"Progenitor cells","RPL39"
"PEBP1",4.90179147253376e-14,0.715168201971626,0.971,0.39,7.39337207802267e-10,"Progenitor cells","PEBP1"
"RPL18",5.58303076912411e-14,0.658971095136399,1,0.807,8.4208853090699e-10,"Progenitor cells","RPL18"
"RPS27A",6.1196133498801e-14,0.604757241081236,1,0.899,9.23021281562416e-10,"Progenitor cells","RPS27A"
"C6orf48",6.99958239032493e-14,0.742203524980493,0.971,0.441,1.05574701193271e-09,"Progenitor cells","C6orf48"
"RPS18",8.92995331724735e-14,0.837645964142653,1,0.86,1.34690485884042e-09,"Progenitor cells","RPS18"
"TMEM159",9.05411086406882e-14,0.255386067851585,0.353,0.052,1.3656315416275e-09,"Progenitor cells","TMEM159"
"RPS21",1.30869047244682e-13,0.739006584961851,1,0.786,1.97389783959154e-09,"Progenitor cells","RPS21"
"RPL15",1.85470375130972e-13,0.667845951420714,1,0.867,2.79744966810045e-09,"Progenitor cells","RPL15"
"RPL11",2.34618484976399e-13,0.614289835862251,1,0.857,3.53875060889903e-09,"Progenitor cells","RPL11"
"RPL19",2.42951749737579e-13,0.624549168032422,1,0.852,3.6644412412919e-09,"Progenitor cells","RPL19"
"RPL32",2.46400341475462e-13,0.715749589912408,1,0.855,3.71645635047439e-09,"Progenitor cells","RPL32"
"EEF1A1",3.15904027276878e-13,0.675564666534484,1,0.901,4.76478044341716e-09,"Progenitor cells","EEF1A1"
"KDM5B",3.21629548145922e-13,0.285957301525126,0.324,0.046,4.85113847468495e-09,"Progenitor cells","KDM5B"
"RPS14",5.33846748307048e-13,0.65871695548823,1,0.903,8.0520105047152e-09,"Progenitor cells","RPS14"
"RPL35",5.37736096841784e-13,0.63221158417302,1,0.8,8.11067354866464e-09,"Progenitor cells","RPL35"
"LAIR1",5.39321783009527e-13,0.469484453673766,0.647,0.16,8.1345904531327e-09,"Progenitor cells","LAIR1"
"RPS7",7.8617417706926e-13,0.643734234948099,1,0.83,1.18578651127357e-08,"Progenitor cells","RPS7"
"RPL23",8.41055779447925e-13,0.630946984515849,1,0.82,1.26856443214131e-08,"Progenitor cells","RPL23"
"NACA",8.64814149314280e-13,0.574572469714903,1,0.845,1.30439918141073e-08,"Progenitor cells","NACA"
"ATP13A2",9.35730397393267e-13,0.427065957561454,0.412,0.075,1.41136215838827e-08,"Progenitor cells","ATP13A2"
"RPL10",9.45514945701985e-13,0.616806642731621,1,0.875,1.4261201926023e-08,"Progenitor cells","RPL10"
"RPS25",9.92116263909438e-13,0.580448521777764,1,0.853,1.49640896085461e-08,"Progenitor cells","RPS25"
"HHEX",1.17641313511139e-12,0.342812722365387,0.618,0.148,1.77438393168851e-08,"Progenitor cells","HHEX"
"SYNGR1",1.28209160682445e-12,0.35961622141045,0.382,0.065,1.93377877057332e-08,"Progenitor cells","SYNGR1"
"DAB2",1.44219974659952e-12,0.309425561654116,0.294,0.04,2.17526987779606e-08,"Progenitor cells","DAB2"
"PLIN3",1.62142752860739e-12,0.514395882826427,0.647,0.172,2.44559914139853e-08,"Progenitor cells","PLIN3"
"CARF",1.72796873148814e-12,0.278579605228953,0.353,0.057,2.60629523770356e-08,"Progenitor cells","CARF"
"RPL27A",1.78136975082541e-12,0.579472893717268,1,0.887,2.68683999516997e-08,"Progenitor cells","RPL27A"
"HINT1",1.81823709048769e-12,0.792977278213404,1,0.766,2.74244700358258e-08,"Progenitor cells","HINT1"
"CD82",1.86166165286018e-12,0.467042028349492,0.588,0.148,2.80794427100901e-08,"Progenitor cells","CD82"
"LUC7L3",2.189380256582e-12,0.663896516181352,0.971,0.527,3.30224224100264e-08,"Progenitor cells","LUC7L3"
"PAFAH1B3",2.20538396893271e-12,0.392247046227636,0.618,0.153,3.3263806403412e-08,"Progenitor cells","PAFAH1B3"
"RAB37",2.38084313017431e-12,0.334435484545756,0.676,0.175,3.59102569324192e-08,"Progenitor cells","RAB37"
"ZNF326",2.5682795049035e-12,0.355267620786991,0.5,0.107,3.87373597724595e-08,"Progenitor cells","ZNF326"
"RPL13",3.06498543481173e-12,0.638538712490283,1,0.867,4.62291753132653e-08,"Progenitor cells","RPL13"
"RPS9",3.14294393156504e-12,0.516322943871287,1,0.923,4.74050233197955e-08,"Progenitor cells","RPS9"
"CDK2AP1",3.37367113198908e-12,0.287080688128257,0.441,0.087,5.08850816837913e-08,"Progenitor cells","CDK2AP1"
"RPL13A",3.82785415478708e-12,0.574290633478383,1,0.894,5.77355242166535e-08,"Progenitor cells","RPL13A"
"ST13",4.34534653142674e-12,0.731725957883782,0.941,0.479,6.55408617335095e-08,"Progenitor cells","ST13"
"EIF3E",5.02716696553616e-12,0.739781917511796,0.971,0.699,7.58247593411819e-08,"Progenitor cells","EIF3E"
"RPL38",5.90393455950127e-12,0.582363781838565,1,0.83,8.90490449609576e-08,"Progenitor cells","RPL38"
"RPL24",7.00282088048379e-12,0.617611957774916,1,0.805,1.05623547340337e-07,"Progenitor cells","RPL24"
"MGST2",7.04984279995688e-12,0.353501577800453,0.5,0.112,1.0633277895175e-07,"Progenitor cells","MGST2"
"METTL21A",9.93288435683465e-12,0.350393130179155,0.471,0.101,1.49817694754137e-07,"Progenitor cells","METTL21A"
"RPS13",1.25824128795562e-11,0.58534694173613,1,0.832,1.89780533462346e-07,"Progenitor cells","RPS13"
"BEX4",1.42530383605717e-11,0.287681593778379,0.5,0.108,2.14978577592503e-07,"Progenitor cells","BEX4"
"RPL34",1.50733125357168e-11,0.586845402485042,1,0.923,2.27350772976216e-07,"Progenitor cells","RPL34"
"FAM211A",1.53210062889001e-11,0.435630099683474,0.471,0.103,2.3108673785548e-07,"Progenitor cells","FAM211A"
"SQLE",1.64562334378868e-11,0.285284440530385,0.412,0.08,2.48209368943647e-07,"Progenitor cells","SQLE"
"CCNB1IP1",1.74478460861267e-11,0.36517690153077,0.471,0.105,2.63165862517049e-07,"Progenitor cells","CCNB1IP1"
"RPL22",1.7946618525342e-11,0.658227071246297,1,0.789,2.70688847217734e-07,"Progenitor cells","RPL22"
"COMMD7",1.81742233410413e-11,0.500505241334494,0.824,0.289,2.74121810652926e-07,"Progenitor cells","COMMD7"
"SCCPDH",1.95465683761039e-11,0.363994204132319,0.471,0.104,2.94820890816775e-07,"Progenitor cells","SCCPDH"
"RPL12",2.51300015484344e-11,0.723099674125998,1,0.815,3.79035813355035e-07,"Progenitor cells","RPL12"
"DKC1",2.55214683100344e-11,0.406761952558705,0.618,0.168,3.84940306520248e-07,"Progenitor cells","DKC1"
"RPL41",2.69683191411688e-11,0.484290449136551,1,0.952,4.06763157606248e-07,"Progenitor cells","RPL41"
"FAM175A",3.31388216865285e-11,0.268696014564655,0.412,0.08,4.9983284749791e-07,"Progenitor cells","FAM175A"
"ATXN3",3.49021499783912e-11,0.25346468508032,0.559,0.132,5.26429128124074e-07,"Progenitor cells","ATXN3"
